,0
29,"[[-0.181122   -0.57959002 -0.95994598]
 [ 0.39846799 -0.19923399  0.018112  ]
 [ 0.181122    0.16301     0.27168301]
 ..., 
 [ 0.217346   -2.3183589   0.19923399]
 [ 1.06861901 -2.13723803 -1.32218897]
 [ 1.539536   -1.75688195 -2.30024695]]"
30,"[[ 0.58600003  1.18099999  0.271     ]
 [ 0.551       1.12800002  0.271     ]
 [ 0.50700003  1.16299999  0.227     ]
 ..., 
 [ 0.245       1.06700003  0.07      ]
 [ 0.20999999  1.08500004  0.061     ]
 [ 0.175       1.13699996  0.017     ]]"
31,"[[ 0.32601899 -1.55764794 -0.61581397]
 [ 0.32601899 -1.44897497 -0.65203899]
 [ 0.253571   -1.376526   -0.706375  ]
 ..., 
 [-0.090561   -0.19923399 -0.235458  ]
 [-0.036224   -0.32601899 -0.253571  ]
 [-0.090561   -0.50714099 -0.054337  ]]"
32,"[[ 0.30599999  0.796      -0.148     ]
 [ 1.023       1.07599998 -0.74299997]
 [ 0.92699999  0.94499999 -0.07      ]
 ..., 
 [ 0.131       1.75800002 -0.25299999]
 [-0.39300001  1.61000001 -0.227     ]
 [-0.41100001  1.27699995 -0.39300001]]"
33,"[[ 0.315       2.35299993 -0.122     ]
 [ 0.20999999  2.02099991 -0.28799999]
 [ 0.16599999  1.39999998 -0.40200001]
 ..., 
 [ 0.28        2.69499993 -0.122     ]
 [ 0.192       2.14299989 -0.50700003]
 [-0.07        1.41700006 -0.65600002]]"
34,"[[-0.94499999  0.008       0.192     ]
 [-0.84799999  0.          0.227     ]
 [-0.66500002 -0.043       0.21799999]
 ..., 
 [-0.91799998  0.122       0.315     ]
 [-0.94499999  0.14        0.315     ]
 [-0.97100002  0.131       0.28      ]]"
35,"[[-0.108673   -0.92372102 -0.28979501]
 [-0.054337   -0.90560901 -0.32601899]
 [-0.072449   -0.94183302 -0.34413099]
 ..., 
 [-0.054337   -1.08673096 -0.054337  ]
 [-0.054337   -1.05050695 -0.108673  ]
 [-0.072449   -1.03239405 -0.181122  ]]"
36,"[[-1.30407703 -2.3183589  -0.88749701]
 [-0.32601899 -0.74259901  0.65203899]
 [-0.28979501 -0.74259901  0.90560901]
 ..., 
 [ 0.88749701 -1.06861901 -0.45280501]
 [ 0.83315998 -0.869385   -0.34413099]
 [ 0.74259901 -0.688263   -0.27168301]]"
37,"[[ 0.144897   -1.05050695 -0.018112  ]
 [ 0.126785   -1.05050695  0.018112  ]
 [ 0.181122   -1.10484302  0.072449  ]
 ..., 
 [-0.072449   -1.06861901 -0.072449  ]
 [-0.108673   -1.05050695 -0.090561  ]
 [-0.072449   -1.06861901 -0.072449  ]]"
38,"[[ 0.38035601 -0.88749701 -0.181122  ]
 [ 0.36224401 -0.90560901 -0.16301   ]
 [ 0.34413099 -0.90560901 -0.108673  ]
 ..., 
 [ 0.126785   -0.434692    0.072449  ]
 [ 0.054337   -0.30790699  0.090561  ]
 [-0.036224   -0.217346    0.090561  ]]"
39,"[[ 1.17200005  2.07299995  0.122     ]
 [ 1.06700003  2.13499999  0.20100001]
 [ 0.88300002  1.83700001  0.113     ]
 ..., 
 [-0.017       0.175      -0.052     ]
 [-0.008       0.16599999 -0.008     ]
 [ 0.          0.33199999  0.008     ]]"
40,"[[ 0.19923399 -2.30024695  0.59770203]
 [ 0.34413099 -2.30024695  0.706375  ]
 [ 0.56147802 -2.30024695  0.63392597]
 ..., 
 [-0.072449   -0.217346   -0.253571  ]
 [-0.126785   -0.253571   -0.32601899]
 [-0.072449   -0.30790699 -0.41657999]]"
41,"[[ 0.054337   -0.94183302 -0.41657999]
 [ 0.072449   -0.94183302 -0.39846799]
 [ 0.108673   -0.97805798 -0.39846799]
 ..., 
 [ 0.181122   -0.30790699 -0.97805798]
 [ 0.126785   -0.38035601 -1.01428199]
 [ 0.181122   -0.34413099 -0.99616998]]"
42,"[[-0.181122   -0.41657999  0.50714099]
 [-0.434692   -0.16301     0.45280501]
 [-0.41657999 -0.054337    0.090561  ]
 ..., 
 [-0.181122   -0.30790699 -0.19923399]
 [-0.253571   -0.30790699 -0.235458  ]
 [-0.30790699 -0.34413099 -0.217346  ]]"
43,"[[ 0.017       0.93599999  0.043     ]
 [ 0.061       0.95300001  0.043     ]
 [ 0.061       0.98000002  0.026     ]
 ..., 
 [ 0.227       0.83999997 -0.25299999]
 [ 0.236       0.83999997 -0.271     ]
 [ 0.21799999  0.82200003 -0.271     ]]"
44,"[[ 0.38499999  1.102      -0.017     ]
 [ 0.463       1.41700006  0.017     ]
 [ 0.60299999  1.60099995  0.017     ]
 ..., 
 [ 0.035       2.16100001 -0.26199999]
 [-0.122       1.81099999 -0.30599999]
 [-0.008       1.61800003 -0.29699999]]"
45,"[[-0.59770203  0.57959002 -0.28979501]
 [-0.670151    0.63392597 -0.30790699]
 [-0.74259901  0.706375   -0.253571  ]
 ..., 
 [-0.50714099  0.88749701 -0.27168301]
 [-0.525253    0.88749701 -0.28979501]
 [-0.56147802  0.90560901 -0.28979501]]"
46,"[[-0.181122   -0.97805798 -0.036224  ]
 [-0.181122   -0.97805798 -0.036224  ]
 [-0.181122   -0.97805798 -0.018112  ]
 ..., 
 [-0.144897   -0.99616998 -0.144897  ]
 [-0.235458   -0.92372102 -0.16301   ]
 [-0.38035601 -0.869385   -0.181122  ]]"
47,"[[-0.108673   -0.97805798  0.181122  ]
 [-0.090561   -0.97805798  0.19923399]
 [-0.108673   -0.99616998  0.181122  ]
 ..., 
 [-0.108673   -0.97805798  0.181122  ]
 [-0.108673   -0.97805798  0.19923399]
 [-0.090561   -0.97805798  0.19923399]]"
48,"[[ 0.19923399 -0.670151    0.32601899]
 [ 0.30790699 -0.670151    0.30790699]
 [ 0.36224401 -0.65203899  0.235458  ]
 ..., 
 [ 0.090561   -0.869385    0.181122  ]
 [ 0.090561   -0.90560901  0.19923399]
 [ 0.072449   -0.92372102  0.181122  ]]"
49,"[[-0.19923399 -1.23162794 -0.19923399]
 [-0.19923399 -1.12295496 -0.217346  ]
 [-0.181122   -1.10484302 -0.19923399]
 ..., 
 [ 0.090561   -0.61581397 -0.30790699]
 [ 0.018112   -0.706375   -0.34413099]
 [ 0.19923399 -0.92372102 -0.45280501]]"
50,"[[ 0.122       0.61199999 -0.148     ]
 [ 0.113       0.63800001 -0.183     ]
 [ 0.052       0.66500002 -0.245     ]
 ..., 
 [ 0.131       1.13699996 -0.105     ]
 [ 0.122       1.12       -0.122     ]
 [ 0.113       1.04999995 -0.131     ]]"
51,"[[ 1.64820898  1.73877001 -0.19923399]
 [ 1.99233997  2.24591088 -0.36224401]
 [ 2.02856398  2.30024695 -0.126785  ]
 ..., 
 [-0.61581397  0.28979501 -0.34413099]
 [-0.65203899  0.543365   -0.36224401]
 [-0.57959002  0.45280501 -0.32601899]]"
52,"[[ 0.543365   -0.108673   -0.45280501]
 [ 0.77882397 -0.28979501 -0.74259901]
 [ 1.19540405 -0.543365   -0.851273  ]
 ..., 
 [ 0.41657999 -0.253571   -0.19923399]
 [ 0.39846799 -0.235458   -0.253571  ]
 [ 0.36224401 -0.181122   -0.253571  ]]"
53,"[[ 0.32601899 -0.94183302 -0.38035601]
 [ 0.30790699 -0.94183302 -0.38035601]
 [ 0.30790699 -0.92372102 -0.38035601]
 ..., 
 [ 0.126785   -1.03239405 -0.38035601]
 [ 0.108673   -0.99616998 -0.36224401]
 [ 0.126785   -0.94183302 -0.38035601]]"
54,"[[ 0.97805798 -2.30024695  0.144897  ]
 [ 1.10484302 -2.1915741  -0.108673  ]
 [ 0.79693598 -2.01045203 -0.108673  ]
 ..., 
 [-0.36224401 -0.65203899 -0.126785  ]
 [-0.36224401 -0.61581397 -0.072449  ]
 [-0.32601899 -0.59770203  0.072449  ]]"
55,"[[ 0.054337    0.95994598  0.63392597]
 [ 0.144897    1.64820898  0.92372102]
 [ 0.39846799  1.93800402  1.01428199]
 ..., 
 [ 0.108673   -0.036224   -0.253571  ]
 [ 0.34413099  0.072449   -0.97805798]
 [ 0.41657999 -0.126785   -0.76071203]]"
56,"[[-0.49000001  0.85699999 -0.183     ]
 [-0.48100001  0.866      -0.192     ]
 [-0.48100001  0.88300002 -0.192     ]
 ..., 
 [-0.551       0.83099997 -0.28799999]
 [-0.542       0.80500001 -0.28      ]
 [-0.542       0.81300002 -0.28799999]]"
57,"[[ 0.63392597 -0.525253   -0.34413099]
 [ 0.525253   -0.48902899 -0.41657999]
 [ 0.45280501 -0.48902899 -0.543365  ]
 ..., 
 [ 0.56147802 -0.34413099 -0.28979501]
 [ 0.543365   -0.27168301 -0.32601899]
 [ 0.56147802 -0.235458   -0.30790699]]"
58,"[[ 0.054337   -0.19923399 -0.072449  ]
 [ 0.036224   -0.181122   -0.144897  ]
 [ 0.         -0.126785   -0.108673  ]
 ..., 
 [-0.28979501  0.670151    0.670151  ]
 [-0.50714099  1.32218897  0.688263  ]
 [-0.56147802  2.20968604  0.56147802]]"
59,"[[ 0.192       0.33199999  0.16599999]
 [-0.026       0.74299997  0.183     ]
 [ 0.078       1.03199995  0.183     ]
 ..., 
 [ 0.34099999 -0.113       0.37599999]
 [ 0.48100001 -0.052       0.227     ]
 [ 0.56       -0.026       0.15700001]]"
60,"[[-0.036224    0.19923399  0.090561  ]
 [-0.036224    0.16301     0.018112  ]
 [-0.018112    0.144897   -0.072449  ]
 ..., 
 [-0.018112    0.181122    0.090561  ]
 [-0.036224    0.090561    0.036224  ]
 [-0.072449    0.         -0.126785  ]]"
61,"[[ 0.175       0.92699999 -0.227     ]
 [ 0.16599999  0.92699999 -0.192     ]
 [ 0.148       0.88300002 -0.192     ]
 ..., 
 [ 0.096       0.708      -0.017     ]
 [ 0.105       0.74299997 -0.008     ]
 [ 0.087       0.76999998 -0.008     ]]"
62,"[[ 0.688263   -0.56147802 -0.61581397]
 [ 0.706375   -0.61581397 -0.63392597]
 [ 0.670151   -0.56147802 -0.63392597]
 ..., 
 [ 0.072449   -0.47091699 -1.213516  ]
 [ 0.054337   -0.525253   -1.01428199]
 [ 0.036224   -0.47091699 -0.83315998]]"
63,"[[ 0.054337    1.05050695  0.054337  ]
 [ 0.036224    1.03239405  0.036224  ]
 [ 0.036224    1.03239405  0.036224  ]
 ..., 
 [-0.018112    1.05050695  0.018112  ]
 [ 0.          1.03239405  0.018112  ]
 [-0.018112    1.05050695  0.018112  ]]"
64,"[[ 0.39846799  0.054337   -0.41657999]
 [ 0.181122    0.090561   -0.543365  ]
 [ 0.018112    0.090561   -0.72448701]
 ..., 
 [-0.50714099 -0.50714099 -0.39846799]
 [-0.19923399 -0.28979501  0.36224401]
 [ 0.19923399 -0.054337    0.235458  ]]"
65,"[[-0.043       1.01499999 -0.183     ]
 [-0.043       1.01499999 -0.183     ]
 [-0.043       1.00600004 -0.192     ]
 ..., 
 [-0.087       0.99699998 -0.192     ]
 [-0.087       1.00600004 -0.192     ]
 [-0.078       1.023      -0.183     ]]"
66,"[[ 0.          1.04100001 -0.043     ]
 [-0.008       1.03199995 -0.052     ]
 [-0.008       1.01499999 -0.052     ]
 ..., 
 [ 0.          1.023      -0.087     ]
 [ 0.008       1.023      -0.087     ]
 [ 0.          1.023      -0.087     ]]"
67,"[[-0.28979501 -0.869385   -0.434692  ]
 [-0.30790699 -0.851273   -0.41657999]
 [-0.30790699 -0.851273   -0.39846799]
 ..., 
 [-0.072449   -1.01428199 -0.19923399]
 [-0.072449   -0.97805798 -0.144897  ]
 [-0.054337   -0.97805798 -0.144897  ]]"
68,"[[ 0.57959002 -0.65203899 -0.45280501]
 [ 0.57959002 -0.670151   -0.45280501]
 [ 0.59770203 -0.74259901 -0.45280501]
 ..., 
 [ 0.39846799 -0.525253   -1.12295496]
 [ 0.38035601 -0.525253   -1.12295496]
 [ 0.36224401 -0.525253   -1.03239405]]"
69,"[[ 0.253571   -0.38035601 -0.108673  ]
 [ 0.036224   -0.34413099 -0.036224  ]
 [-0.181122   -0.45280501 -0.126785  ]
 ..., 
 [-0.525253   -1.03239405 -0.126785  ]
 [-0.57959002 -1.01428199 -0.108673  ]
 [-0.61581397 -1.03239405 -0.108673  ]]"
70,"[[ 0.869385   -0.39846799 -0.543365  ]
 [ 0.869385   -0.39846799 -0.56147802]
 [ 0.869385   -0.39846799 -0.56147802]
 ..., 
 [ 0.036224   -0.706375   -0.72448701]
 [ 0.036224   -0.706375   -0.706375  ]
 [ 0.036224   -0.72448701 -0.74259901]]"
71,"[[ 0.096       0.76099998 -0.008     ]
 [ 0.122       0.74299997  0.008     ]
 [ 0.14        0.69999999 -0.008     ]
 ..., 
 [-0.043       0.57700002 -0.36700001]
 [-0.087       0.64700001 -0.40200001]
 [-0.16599999  0.72600001 -0.44600001]]"
72,"[[-1.04999995 -0.25299999  0.061     ]
 [-1.18099999 -0.15700001  0.192     ]
 [-1.25999999 -0.043       0.315     ]
 ..., 
 [-0.75199997  0.20999999  0.64700001]
 [-1.01499999 -0.463       0.58600003]
 [-1.20700002 -0.83999997  0.68199998]]"
73,"[[ 0.253571   -1.01428199 -0.217346  ]
 [ 0.253571   -1.01428199 -0.217346  ]
 [ 0.28979501 -1.05050695 -0.19923399]
 ..., 
 [-0.072449   -0.543365   -0.95994598]
 [-0.036224   -0.47091699 -0.869385  ]
 [-0.072449   -0.525253   -0.869385  ]]"
74,"[[ 0.054337   -0.144897   -0.688263  ]
 [ 0.036224   -0.16301    -0.670151  ]
 [ 0.054337   -0.19923399 -0.63392597]
 ..., 
 [ 0.072449   -0.217346   -0.434692  ]
 [ 0.090561   -0.19923399 -0.47091699]
 [ 0.090561   -0.144897   -0.47091699]]"
75,"[[-0.217346    1.34030199  0.38035601]
 [-0.090561    1.32218897  0.28979501]
 [ 0.054337    1.35841405  0.036224  ]
 ..., 
 [-0.27168301  1.24974096 -0.054337  ]
 [-0.27168301  1.23162794 -0.018112  ]
 [-0.28979501  1.19540405  0.018112  ]]"
76,"[[ 0.35800001  0.97100002 -0.28      ]
 [ 0.30599999  1.04999995 -0.26199999]
 [ 0.20999999  1.12800002 -0.271     ]
 ..., 
 [ 0.45500001  1.25999999  0.061     ]
 [ 0.37599999  1.24199998  0.035     ]
 [ 0.29699999  1.19799995  0.026     ]]"
77,"[[-0.25299999 -0.008       0.017     ]
 [-0.227       0.026       0.017     ]
 [-0.21799999  0.035      -0.008     ]
 ..., 
 [ 0.98799998  2.38000011  0.061     ]
 [ 1.14600003  2.38800001 -0.008     ]
 [ 1.14600003  2.44099998 -0.061     ]]"
78,"[[-0.35800001  0.48100001 -0.096     ]
 [-0.472       0.315      -0.63800001]
 [ 0.07        0.41999999 -0.35800001]
 ..., 
 [-0.56        1.91600001 -0.28799999]
 [-0.61199999  1.64499998 -0.30599999]
 [-0.48100001  1.43499994 -0.15700001]]"
79,"[[ 0.078       0.88300002 -0.28799999]
 [ 0.026       1.23300004 -0.21799999]
 [ 0.061       1.52199996 -0.21799999]
 ..., 
 [-0.113       1.61800003 -0.227     ]
 [-0.20999999  1.38199997 -0.227     ]
 [-0.192       1.36500001 -0.20999999]]"
80,"[[-0.126785   -1.08673096 -0.181122  ]
 [-0.126785   -1.06861901 -0.19923399]
 [-0.126785   -1.08673096 -0.19923399]
 ..., 
 [-0.126785   -1.06861901 -0.108673  ]
 [-0.126785   -1.05050695 -0.144897  ]
 [-0.126785   -1.06861901 -0.144897  ]]"
81,"[[-0.706375   -2.30024695 -0.59770203]
 [-0.41657999 -2.30024695 -0.181122  ]
 [-0.036224   -2.01045203 -0.126785  ]
 ..., 
 [-0.19923399 -2.30024695 -1.34030199]
 [-0.108673   -2.082901   -1.43086195]
 [-0.036224   -1.86555505 -1.28596497]]"
82,"[[ 0.271       0.787      -0.192     ]
 [ 0.28799999  0.84799999 -0.20999999]
 [ 0.28799999  0.85699999 -0.20999999]
 ..., 
 [ 0.20100001  0.92699999  0.061     ]
 [ 0.192       0.92699999  0.026     ]
 [ 0.192       0.84799999  0.026     ]]"
83,"[[ 0.090561   -0.706375    0.054337  ]
 [ 0.108673   -0.76071203  0.036224  ]
 [ 0.181122   -0.77882397 -0.036224  ]
 ..., 
 [ 0.16301    -1.24974096  0.072449  ]
 [ 0.16301    -1.26785302  0.054337  ]
 [ 0.144897   -1.28596497 -0.018112  ]]"
84,"[[-0.543365   -2.06478906  0.48902899]
 [-0.59770203 -2.10101295  0.543365  ]
 [-0.63392597 -2.082901    0.56147802]
 ..., 
 [-0.706375   -1.55764794 -0.217346  ]
 [-0.77882397 -0.95994598 -1.10484302]
 [-0.57959002 -1.08673096 -0.94183302]]"
85,"[[ 0.235458   -0.95994598 -0.036224  ]
 [ 0.217346   -0.99616998 -0.054337  ]
 [ 0.235458   -0.99616998 -0.036224  ]
 ..., 
 [ 0.30790699 -0.97805798 -0.144897  ]
 [ 0.34413099 -1.01428199 -0.16301   ]
 [ 0.32601899 -0.99616998 -0.126785  ]]"
86,"[[-0.008       0.94499999 -0.21799999]
 [-0.026       0.92699999 -0.20999999]
 [-0.052       0.90100002 -0.20999999]
 ..., 
 [-0.113       0.98000002  0.008     ]
 [-0.087       0.98799998  0.017     ]
 [-0.07        1.023       0.026     ]]"
87,"[[-0.65203899 -0.83315998 -0.30790699]
 [-0.65203899 -0.81504798 -0.235458  ]
 [-0.670151   -0.79693598 -0.181122  ]
 ..., 
 [-0.63392597 -0.434692   -0.869385  ]
 [-0.63392597 -0.525253   -0.851273  ]
 [-0.61581397 -0.543365   -0.851273  ]]"
88,"[[-0.81504798 -0.76071203 -0.253571  ]
 [-0.851273   -0.74259901 -0.181122  ]
 [-0.99616998 -0.74259901 -0.054337  ]
 ..., 
 [-2.24591088 -0.88749701  0.        ]
 [-1.48519897 -0.90560901 -0.090561  ]
 [-0.92372102 -0.92372102 -0.036224  ]]"
89,"[[ 0.48902899 -1.75688195  0.34413099]
 [ 0.19923399 -1.68443298 -0.32601899]
 [-0.018112   -1.63009596 -0.30790699]
 ..., 
 [ 0.76071203 -1.59387195  1.32218897]
 [ 0.72448701 -1.34030199  0.851273  ]
 [ 0.72448701 -1.10484302  0.63392597]]"
90,"[[-0.28979501 -0.97805798 -0.235458  ]
 [-0.34413099 -0.94183302 -0.28979501]
 [-0.32601899 -0.95994598 -0.27168301]
 ..., 
 [-0.253571   -1.05050695 -0.19923399]
 [-0.253571   -1.05050695 -0.16301   ]
 [-0.16301    -1.05050695 -0.181122  ]]"
91,"[[ 0.008       0.875      -0.043     ]
 [ 0.017       0.90100002 -0.052     ]
 [ 0.017       0.91000003 -0.052     ]
 ..., 
 [ 0.087       0.97100002 -0.122     ]
 [ 0.026       0.91000003 -0.113     ]
 [-0.035       0.796      -0.113     ]]"
92,"[[ 0.036224   -0.28979501 -0.99616998]
 [ 0.072449   -0.30790699 -0.92372102]
 [ 0.126785   -0.32601899 -0.88749701]
 ..., 
 [ 0.235458   -0.95994598 -0.19923399]
 [ 0.235458   -0.97805798 -0.19923399]
 [ 0.27168301 -0.95994598 -0.19923399]]"
